IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,Standard,Standard to UTC,Daylight_20150308_0200,Daylight to UTC
IDA,Idaho Falls Regional Airport,Idaho Falls,ID,USA,43.51456,-112.07017,CST,UTC -6,CDT,UTC -5
ITO,Hilo International Airport,Hilo,HI,USA,19.72026,-155.04847,HST,UTC -10,HST,UTC -10
KOA,Kona International Airport at Keahole,Kailua/Kona,HI,USA,19.73877,-156.04563,HST,UTC -10,HST,UTC -10
LIH,Lihue Airport,Lihue,HI,USA,21.97598,-159.33896,HST,UTC -10,HST,UTC -10
LWS,Lewiston-Nez Perce County Airport,Lewiston,ID,USA,46.3745,-117.01539,CST,UTC -6,CDT,UTC -5
OGG,Kahului Airport,Kahului,HI,USA,20.89865,-156.43046,HST,UTC -10,HST,UTC -10
PIH,Pocatello Regional Airport,Pocatello,ID,USA,42.91131,-112.59586,CST,UTC -6,CDT,UTC -5
SUN,Friedman Memorial Airport,Hailey,ID,USA,43.50484,-114.29659,CST,UTC -6,CDT,UTC -5
SUX,Sioux Gateway Airport,Sioux City,IA,USA,42.4026,-96.38437,CST,UTC -6,CDT,UTC -5
TWF,Magic Valley Regional Airport (Joslin Field),Twin Falls,ID,USA,42.4818,-114.48774,CST,UTC -6,CDT,UTC -5
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,MST,UTC-7,MDT,UTC -6
ASE,Aspen-Pitkin County Airport,Aspen,CO,USA,39.22316,-106.86885,MST,UTC-7,MDT,UTC -6
AVL,Asheville Regional Airport,Asheville,NC,USA,35.43619,-82.54181,MST,UTC-7,MDT,UTC -6
BIL,Billings Logan International Airport,Billings,MT,USA,45.80766,-108.54286,MST,UTC-7,MDT,UTC -6
BIS,Bismarck Municipal Airport,Bismarck,ND,USA,46.77411,-100.74672,MST,UTC-7,MDT,UTC -6
BTM,Bert Mooney Airport,Butte,MT,USA,45.9548,-112.49746,MST,UTC-7,MDT,UTC -6
BZN,Bozeman Yellowstone International Airport (Gallatin Field Airport),Bozeman,MT,USA,45.7769,-111.15301,MST,UTC-7,MDT,UTC -6
CDC,Cedar City Regional Airport,Cedar City,UT,USA,37.70097,-113.09858,MST,UTC-7,MDT,UTC -6
CHO,Charlottesville-Albemarle Airport,Charlottesville,VA,USA,38.13864,-78.45286,MST,UTC-7,MDT,UTC -6
